name	probe_name	x	y	z	hemisphere	impedance	shank_id
Electrode 0	DD132X with MultiClamp 700	n/a	n/a	n/a	n/a	n/a	n/a
Electrode 1	DD132X with MultiClamp 700	n/a	n/a	n/a	n/a	n/a	n/a
